描述,几室几厅,高低层,朝向,建筑年代,所属小区,所属片区,地址,最近地铁站,建筑面积,整套价格,平方价格
鸿业兴园二区 中间位置 南北通透 主卧朝南,2室1厅,高层(共18层),南北向,2011,鸿业兴园二期,科技园区,鸿业兴园二期丰台南路南侧花乡造甲村,距9号线丰台南路站约1142米,88,460,52261
邻近梨园轻轨站 南北通透三居室 户型方正,3室1厅,低层(共6层),南北向,2000,云景里,梨园,果园环岛东南侧梨园城铁南,距八通线梨园站约753米,110,450,40865
为幸福生活加分 荟康苑南北通透两居 首付130万 您明智的选择,2室1厅,中层(共6层),南北向,1997,荟康苑,管庄,三间房东路荟万鸿社区,距6号线黄渠站约919米,70,318,45429
武夷花园水仙园二室一厅一卫,2室1厅,高层(共6层),东南向,2000,武夷花园水仙园,武夷花园,通州通胡大街68号武夷花园,无,88,410,46401
万科红狮家园 东西通透两居 满五年一套 小区门口是 10年新房,2室1厅,高层(共29层),东西向,2010,红狮家园,宋家庄,东铁匠营宋庄路26号,距5号线宋家庄站约316米,90,450,50061
光熙门北里二室一厅一卫,2室1厅,低层(共21层),西南向,1991,光熙门北里,西坝河,北三环太阳宫桥东南角,距13号线光熙门站约449米,71,510,72054
三元桥太阳宫金星园 南北三居 满五年交通便利 临10号线,3室2厅,中层(共12层),南北向,2005,金星园,太阳宫,太阳宫南街与曙光西路交叉路口东南200米,距10号线三元桥站约772米,146,1400,95890
九州 格林云墅 别墅叠拼 上叠 带露台 毛坯 看房方便,6室2厅,高层(共4层),南北向,2015,格林云墅洋房,黄村东,南五环外4公里中轴路西,无,231,918,39740
沸城二室一厅一卫,2室1厅,低层(共27层),东北向,2009,沸城,卢沟桥,晓月六里、晓月七里、晓月八里,无,97,420,43219
七家 叠拼别墅 带花园 送地下室 带阁楼 家具家电全送,5室3厅,高层(共4层),南北向,2013,阳光波尔多,黄村东,采育镇(京津塘高速公路出口北2,无,181,520,28729
九龙山庄三区一室一厅一卫,1室1厅,高层(共6层),东南向,1996,九龙山庄三区,西红门,欣荣北大街和欣旺北大街交叉口往东200米京开,无,58,240,41337
南三环+10号线成寿寺站+老弟飘窗总价+次顶层无遮挡采光好,2室2厅,高层(共6层),南北向,2010,晶城秀府,方庄,丰台三环方庄南路58号院(方庄南路与石榴庄路,距10号线成寿寺站约628米,104,760,73281
海淀区独栋 装修保养好!可加电梯 七居室!,7室2厅,低层(共1层),南向,2003,西山美墅馆,西山,四季青桥南旱河路301号院,无,296,2888,97574
学院路30号院三室一厅一卫,3室1厅,中层(共22层),东南向,2003,北京科技大学家属楼,学院路,海淀区学院路30号院,无,100,1100,109551
优加户型四居室 明厨+明卫 南北 通透 这月必卖的房!,4室2厅,中层(共10层),无,2001,韦伯豪家园,魏公村,中关村南大街丁34号,距4号线魏公村站约571米,166,1520,91566
 小区位置好 户型正 中间楼层 无遮挡 低于市场价出,2室1厅,高层(共26层),西北向,2013,燕京航城,燕郊,北京周边 燕郊经济技术开发区神威北路与燕灵路,无,74,145,19595
绿茵花园别墅占地1100平米大花园 5室出售 户型方正 南北通透朝向,5室3厅,低层(共2层),南向,1998,绿茵花园,黄村东,半壁店魏善庄庞安路南侧,无,295,2276,77153
房源+变现出售价格可谈++带两个车位+随时可看,4室2厅,高层(共15层),南北向,2012,绿城北京诚园,奥林匹克公园,南沙滩东路3号,距15号线北沙滩站约1052米,178,2100,117779
2015年雪芳园 毛坯房 买了即可装修,3室2厅,中层(共16层),东西向,2003,雪芳园,田村,田村路98号,无,136,860,63296
别墅区 600平花园 临湖独栋 全新房。贵 但是景观好,5室3厅,低层(共1层),东向,2006,长岛澜桥,来广营,来广营东路北侧 京顺路与来广营路交叉西北40,无,567,9899,174650
九州 首地浣溪谷 南北通透 两居室 带阁楼 豪 装带两个车位,2室1厅,高层(共9层),南北向,2015,首地浣溪谷,黄村东,黄村镇孙村镇空港生活区,无,84,370,44048
东一时区二室一厅一卫,2室1厅,低层(共22层),东北向,2005,东一时区,双桥,北京市朝阳区管庄乡双桥东路12号院,无,86,384,44424
今日新出房源:太阳宫核心区 金星园板楼全南2居 不临街 急售变现,2室2厅,中层(共14层),南向,2005,金星园,太阳宫,太阳宫南街与曙光西路交叉路口东南200米,距10号线三元桥站约772米,111,980,88288
西城区 广安门外 正规一居室出售朝南向三层,1室1厅,中层(共5层),南向,1983,鸭子桥路,白纸坊,鸭子桥路白纸坊桥西200米,无,38,340,89029
「官网保.真」「招生育翔」「单价11万」 「精装修 中间楼层」,3室1厅,低层(共6层),南北向,1986,新外大街6号院,德胜门,北师大东门对面,无,84,920,110180
国贸 8.18万单价+200万家具家电+全落地窗设计+采光好,2室2厅,低层(共20层),东向,2013,万科大都会,CBD,北京市朝阳区东三环中路甲10号,距1号线国贸站约353米,342,2699,78918
300万精装 次顶层 边户 餐客分离 小区仅14户 我司专属房!!,4室2厅,高层(共18层),无,2010,远洋万和城,亚运村小营,北四环东路73号院,距15号线关庄站约995米,192,2249,117135
房天下 低佣金————玉海园————南北两居————看房随时,2室1厅,中层(共6层),南北向,2000,玉海园,玉泉路,玉泉路与金沟河路交叉口东北侧,无,62,510,82258
鸿坤理想城礼域府 南北双通透 中间位置两居急售,2室2厅,低层(共18层),南北向,2012,鸿坤理想城,西红门,西红门镇中心规划区一区欣荣北大街,无,97,579,59981
天创世缘小两居 楼栋好 看房方便,2室2厅,高层(共19层),西南向,2001,天创世缘,亚运村,大屯路甲21号,距15号线安立路站约407米,103,700,67961
福成四期南向精装一居 全天采光 中间楼层,1室1厅,中层(共26层),南向,2000,福成四期,燕郊,行宫东大街与汉王路交汇处东行250米路北,无,53,128,24151
东城区龙潭北里光明筱学升汇文 房子采光好 能户 随时看房,1室1厅,中层(共5层),南向,2001,龙潭北里小区,光明楼,光明桥西 龙潭路龙潭公园北侧,无,30,225,75000
#NAME?,4室2厅,高层(共26层),东北向,2003,欧陆经典,亚运村小营,北苑路172号院,距5号线大屯路东站约840米,181,990,54717
加利大厦四室二厅二卫,4室2厅,低层(共18层),东西向,2001,加利大厦,亚运村,亚运村北苑路180号,距5号线惠新西街北口站约400米,288,1789,62166
澳林春天四期三室二厅二卫,3室2厅,低层(共13层),南北向,2004,澳林春天,奥林匹克公园,朝阳区林萃西里林萃路与科荟路交汇处西北角,距8号线林萃桥站约1147米,149,1490,99719
城市出品一室一厅一卫,1室1厅,低层(共16层),西向,2005,城市出品,安贞,北三环安外胜古南里,距5号线和平西桥站约549米,54,420,78110
西三环增光路甘家口 二室一厅一卫户型好无遮挡,2室1厅,低层(共6层),南北向,1996,甘家口小区,增光路,甘家口大厦向西100米,距9号线白堆子站约480米,61,580,94926
首层带花园复式6米挑空 全新房 带地暖 南北双花园110平,5室2厅,低层(共8层),南向,2002,山水文园一期,华威,华威桥东弘燕路,距14号线北京工业大学站约909米,292,2989,102300
慧忠北里第底价三室两卫急售 零交易成本不可错过,3室2厅,低层(共26层),东南向,1999,慧忠北里,亚运村,朝阳亚运村安立路与科荟路交叉口西南角,距15号线安立路站约692米,132,660,49890
价格低于同户型成交450万 没住过次新房 有钥匙可看原来房,3室2厅,中层(共11层),西南向,2007,Naga上院,东直门,东直门内大街9号(东直门北中街西侧),距2号线东直门站约780米,302,2699,89253
花语墅必看房 前后不临街 高层观景采光好 前后看园林,3室2厅,低层(共8层),南向,2012,鸿坤花语墅,大望路,西大望路北京工业大学西门北侧100米,距14号线北京工业大学站约649米,147,1649,112177
时尚街区东区一室二厅一卫,1室2厅,中层(共21层),南向,2007,时尚街区东区,梨园,梨园云景东路66号(梨园地铁站附近),距八通线梨园站约208米,67,350,51913
26: 京科苑小区 成熟社区 景观好房,2室1厅,中层(共6层),南北向,2000,京科苑,昌平县城,昌平区昌平镇昌盛路3号,无,82,282,34390
满五年成本价公房 南北通透 楼层好,2室1厅,低层(共6层),南北向,1990,韩庄子西里,看丹桥,丰台看丹桥丰台南路20米,距9号线丰台南路站约852米,53,290,54287
丰泽居 南北向 精装修 中间楼层 户型方正,3室2厅,中层(共6层),南北向,2000,丰泽街1号院,科丰桥,丰泽街1号院,距9号线科怡路站约819米,127,634,49961
金地华宸 3月新推叠拼 上叠290平米 客厅挑空5米 面宽6.6米,4室2厅,低层(共2层),南向,2018,电建金地华宸别墅,双峪,上辛路9号(永定镇西长安街向南500米),无,181,1280,70718
西三环 颐源居一期 中楼层 东南向两居 采光好,2室2厅,低层(共28层),南北向,2001,颐源居,公主坟,西三环羊坊店翠微路4号院,距1号线公主坟站约1007米,117,1280,109402
旗舰凯旋三室二厅二卫,3室2厅,高层(共6层),南北向,2003,旗舰凯旋,梨园,梨园镇云景东路80号(八通线九棵树站向南10,无,111,480,43282
天恒水岸壹号南北通透头室内新风科技精装47000起售,4室2厅,中层(共15层),南北向,2018,天恒水岸壹号,良乡,西五环·大学城西站南约800米,距房山线良乡大学城西站约926米,138,647,46884
天洋城4代精装满二两居室随时看房业主诚售,2室1厅,中层(共31层),无,2014,天洋城4代,燕郊,燕郊经济开发区迎宾路,无,90,195,21659
玉阜嘉园顶采光 三居室人车分流 看房有钥匙,3室1厅,高层(共12层),东南向,1990,玉阜嘉园,玉泉路,玉泉路6号院,无,148,930,62774
西城区 广安门 达官营 西豪逸景 西南向两居室,2室2厅,低层(共28层),西南向,2004,西豪逸景,广安门,广外大街小马厂一巷1号院(手帕口北街西侧),距7号线达官营站约691米,79,672,84913
马连洼竹园经典两居室 南北通透 客厅带窗。,2室1厅,高层(共6层),南北向,1998,马连洼竹园,马连洼,马连洼北路南侧竹园东路西侧,无,59,420,70826
南北大三居+看房提前预约一般都能看+装修保养很好,3室2厅,低层(共17层),南北向,2000,方庄六号,方庄,方庄紫芳园六区(方庄桥向东300米路北),无,166,1050,63383
保利西山林语2期 4室出售 户型方正 南北通透朝向,4室2厅,低层(共8层),南北向,2009,保利西山林语,西北旺,西北旺镇冷泉村,无,171,1000,58545
老客户的房子+户型方正+全天采光+舒适+高层采光位于奥森旁,3室2厅,中层(共27层),西南向,2000,新荣家园,亚运村,亚运村慧忠北里南侧大屯,距15号线安立路站约673米,141,1130,80142
次顶层 东向观景朝阳公园 20㎡连体大阳台 看房方便,2室2厅,高层(共19层),东向,1999,景园大厦,朝阳公园,景园小街1号,距14号线朝阳公园站约537米,167,1200,71856
五棵松 紫金长安小区 新出东西两居室出售 装修好 看房方便,2室2厅,低层(共15层),东西向,2005,紫金长安,五棵松,西翠路17号院,距1号线五棵松站约1151米,98,1300,132653
新出临水独栋+四周视野无遮挡大楼间距+四卧朝南+31米南向水岸线,5室3厅,低层(共1层),东向,2000,恒大丽宫,中央别墅区,机场高速杨林出口西行800米。,无,1012,8199,81023
花市枣苑 有钥匙 高层采光好 温泉入户 人车分流 物业严格 满五年,2室1厅,高层(共19层),东向,2005,花市枣苑,东花市,东花市大街118号,距7号线广渠门内站约710米,128,1250,97656
新出 新景东西通透三居 少有户型 全天采光 总价超低 有车位,3室1厅,中层(共16层),东西向,2002,新景家园,崇文门,崇文门西花市大街8号(新世界商场向东150米,距7号线广渠门内站约859米,92,855,92935
双卧朝南 户型方正 位置安静 采光无遮挡 能观花园 双阳台 方便看,2室2厅,低层(共14层),西南向,2013,美丽经典园,曙光,蓝靛厂南路(章化南路),距6号线海淀五路居站约898米,94,830,88298
光大花园三期高层四居室 双卧朝南装修好 动静分离,4室2厅,高层(共20层),西南向,2000,光大花园,万柳,万柳泉东路2号,距10号线长春桥站约913米,180,2050,114066
富力城区南北三居室 客厅主卧朝南,3室1厅,高层(共13层),南北向,2006,富力城D区,双井,北京市朝阳区东三环中路35号,距7号线广渠门外站约518米,161,1600,99651
燕莎+亮马桥快轨+观景两居+带泳池+车位+看房随时+价格可聊+急售,2室2厅,高层(共30层),东北向,2006,US联邦公寓,燕莎,三元东桥南1000米(宵云路现代汽车大厦后面,距10号线亮马桥站约651米,179,1350,75238
开年巨惠 客户因问题腾退 龙湖品质 独门独院 先到先得,4室2厅,低层(共1层),南向,2015,首开龙湖天琅,亦庄,南五环饮鹿池桥东约1公里,无,228,1100,48246
紫禁壹号院 叠下别墅 南向85㎡花园 私家电梯 公园景观房,4室2厅,低层(共2层),无,2016,紫禁壹号院,亦庄,亦庄核心生活区南海子公园,无,271,1780,65683
安慧北里大客厅两居室 精装修 看房联系,2室1厅,高层(共13层),西北向,1992,安慧北里逸园,亚运村,安慧北里小区路与大屯路交叉点东南角,距5号线大屯路东站约242米,68,490,72517
双榆树东里二室一厅一卫,2室1厅,低层(共6层),南北向,1988,双榆树东里,双榆树,联想桥科学院南路与学院南路口东南角,距4号线人民大学站约888米,55,660,121101
我有钥匙!看房找我!高层西南2+1!满两年!,2室2厅,中层(共28层),西南向,2011,禧瑞都,CBD,东三环中路与朝阳路交叉点向东300米路北,距10号线金台夕照站约566米,170,2100,123225
格拉斯小镇 老客户的低于同户型1300万 独栋边户 客厅10米挑空,8室5厅,低层(共1层),南向,2012,格拉斯小镇,北关,格拉斯路与滨河路交叉点东南角,无,1055,5050,47890
国贸三期旁 温莎大道 南向高层一居室 总价低 观长安街,1室1厅,高层(共19层),南向,2005,温莎大道,国贸,光华西里1号,距1号线永安里站约470米,100,920,92000
西南向二居室改三居室 西单金融街庄胜二期 陶然亭公园枫桦豪景,3室0厅,高层(共12层),西南向,2005,庄胜二期,宣武门,宣武门外大街6号(城铁宣武门站南200米),距2号线和平门站约490米,105,1320,125942
六环以里 现房 品牌开发商 适合现代人的生活环境,5室3厅,低层(共2层),南向,2012,远洋傲北,北七家,北七家立汤路39号(麦卡伦地北),无,300,900,30000
丽春湖院子新中式院墅、独门独院、景观独院 江南园林鸟语花香,5室3厅,低层(共3层),南向,2016,北科建泰禾丽春湖院子,沙河,北五环 中关村北延新核心 地铁沙河站向南80,无,460,2100,45652
东湖湾二期!带大阳台!双明卫!双卧朝南!安静不临街!有钥匙,3室2厅,低层(共32层),南北向,2011,东湖湾,望京,望京北小河森林公园东侧,距14号线东湖渠站约748米,175,1850,105714
半到达国贸 万科打造精装修四居室,3室2厅,中层(共15层),南北向,2017,后现代城,百子湾,百子湾路16号,距7号线大郊亭站约843米,128,685,53516
万年花城 全南一居室价格255万 随时看房,1室0厅,中层(共16层),南向,2010,万年花城一期,玉泉营,首经贸北路8号院,距10号线首经贸站约631米,39,255,65823
(唐宁)5号楼一个本 三面采光+明卫+主卧套房+主仆分离,4室3厅,中层(共19层),南北向,2011,龙湖唐宁ONE,五道口,中关村甲3号,距13号线五道口站约548米,345,6800,197233
新出:垂虹园三卧正南向 明厨明卫三居 满五年家庭一套,3室2厅,中层(共20层),西南向,2004,世纪城三期垂虹园,世纪城,蓝靛厂中路 长春桥北,距10号线火器营站约711米,164,1620,98931
西四环沿线 低楼层 无遮挡 正对小区花园 落地窗,2室1厅,低层(共23层),南北向,2007,民岳家园,岳各庄,梅市口路12号院,无,100,518,51966
急!亦庄新城 快速上五环 到国贸 房源,3室2厅,高层(共17层),南北向,2016,和成璟园,亦庄,东五环大羊坊桥东南角,无,130,650,50000
万达广场旁南北通透三居+正观小区景观+可看房!,3室2厅,中层(共33层),南北向,2003,金地国际花园,国贸,朝阳区建国路91号,距1号线大望路站约350米,199,2388,120000
涧桥泊屋馆(新纪元家园)新出南北三居 明厨明卫 带产权车位,3室2厅,低层(共10层),南北向,2002,涧桥泊屋,万柳,涧桥泊屋苏州桥往西300米右转万柳中路,距10号线长春桥站约896米,156,2078,133162
远洋天地小户型 高层看小区花园 芳草地,1室1厅,中层(共25层),北向,2004,远洋天地,四惠,八里庄西里1号,距1号线四惠站约466米,59,468,79973
御翠尚府顶层带私家露台 视野开阔 地暖,3室2厅,高层(共8层),南北向,2013,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,153,1800,117647
逸翠园 御翠尚府 东南两居高层 方正户型 买完即住,2室2厅,中层(共9层),东南向,2006,逸翠园南区,朝青,朝阳体育中心西路与姚家园北一路交叉点西南角,无,88,820,93182
逸翠园二期 御翠尚府不临街奢华居室 两卧室朝南,3室2厅,中层(共8层),南北向,2013,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,198,1600,80808
逸翠园 御翠尚府 不临街 三卧朝南 可改四居 满二年,3室2厅,低层(共8层),南北向,2012,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,215,1880,87308
急售! 慈云寺 四惠 南北三居 可谈 不临街,3室2厅,中层(共21层),南北向,2008,东恒时代二期TIME,四惠,八里庄东里甲1号院,距1号线四惠站约429米,143,1200,83916
御翠尚府南北三居 正对小区公园 满二年 地暖 买完即住,3室2厅,低层(共8层),南北向,2012,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,141,1300,92068
本房我看过也谈过 朝南两居带储物间 二次改装,2室2厅,高层(共17层),南向,2005,远洋天地,四惠,八里庄西里1号,距1号线四惠站约466米,131,840,63898
逸翠园 御翠尚府不临街南北四居 有钥匙 送入户花厅,4室2厅,高层(共9层),南北向,2012,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,240,2160,90000
御翠尚府南北三居 东边户 客厅餐厅分离 满两年,3室2厅,中层(共8层),南北向,2013,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,140,1350,96291
奥森 两卧室朝南 带百平花园 大地下室 仅住两年,6室3厅,低层(共9层),南北向,2012,招商嘉铭珑原,立水桥,奥林匹克公园北侧 清河路清河湾高尔夫球场东侧,无,230,2260,98261
逸翠园 御翠尚府 南北三居 全新房 随时看房,3室2厅,高层(共9层),南北向,2013,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,141,1200,85106
慈云寺 四惠 远洋三期一居 进门带玄关 满五北京一套,1室1厅,中层(共15层),东向,2004,远洋天地,四惠,八里庄西里1号,距1号线四惠站约466米,78,560,71795
远洋天地一期两居 高层视野好 有钥匙 不临街,2室2厅,高层(共28层),东南向,2003,远洋天地,四惠,八里庄西里1号,距1号线四惠站约466米,118,750,63765
拍卖 逸翠园北区上叠别墅 带电梯 前后露台,4室2厅,中层(共5层),南北向,2007,逸翠园南区,朝青,朝阳体育中心西路与姚家园北一路交叉点西南角,无,253,2000,78948
逸翠园 御翠尚府南北三居 买完即住 满两年 地暖,3室2厅,中层(共7层),南北向,2012,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,142,1298,91608
御翠尚府 逸翠园上叠别墅 挑空客厅 前后露台 带车位,4室2厅,中层(共5层),南北向,2006,逸翠园南区,朝青,朝阳体育中心西路与姚家园北一路交叉点西南角,无,281,2200,78292
四惠 国贸 南北两居 有钥匙 芳草地,2室2厅,高层(共18层),南北向,2004,远洋天地,四惠,八里庄西里1号,距1号线四惠站约466米,118,750,63393
逸翠园方正两居 使用高 带租约,1室2厅,高层(共9层),西南向,2006,逸翠园,朝青,朝阳体育中心西路与姚家园北一路交叉点西南角,无,87,810,92911
御翠尚府南北四居 南看水系喷泉 北看公园 送入室花厅20平,4室2厅,中层(共9层),南北向,2013,御翠尚府,朝青,朝阳姚家园路与青年路交口东北 活力东方OUT,无,241,2250,93257
逸翠园 两卧室朝南 南北直通透 带两个车位 全明格局,3室2厅,高层(共7层),南北向,2007,逸翠园,朝青,朝阳体育中心西路与姚家园北一路交叉点西南角,无,157,1250,79466
慈云寺 芳草地 远洋三期特殊户型 小两居 两年才出一套,2室2厅,低层(共18层),北向,2004,远洋天地,四惠,八里庄西里1号,距1号线四惠站约466米,79,565,71910
朝青 姚家园路 逸翠园东南两居 满五年业主在京一套,2室2厅,低层(共9层),东南向,2006,逸翠园南区,朝青,朝阳体育中心西路与姚家园北一路交叉点西南角,无,88,820,93682
天通苑北三区 大两居落地窗大阳台 小板楼银 层97平377万,2室1厅,中层(共6层),南向,2006,天通苑北三区,天通苑,北京市昌平区太平庄东路与太平庄中二街交汇处,无,97,377,38866
良乡华典家园3居南北向满5年电梯房楼层好位置佳有房本可贷款出售,3室2厅,高层(共9层),南北向,2010,华典家园,良乡,体育场路28号院,无,127,370,29134
燕山羊耳峪老区76.29平米售价135万  急售,2室1厅,高层(共6层),南向,1992,羊耳峪里,燕山,北京市房山区燕山羊耳峪里,无,76,135,17696
天通苑北一区+售价491万 大3居+有车位+落地窗+经典户型,3室2厅,高层(共14层),南北向,2006,天通苑北一区,天通苑,太平庄中二街与立水桥东一路交汇处西北角,距5号线天通苑站约476米,143,491,34364
天通苑东二区 板楼三居 临17线 现售450万 !,3室1厅,中层(共7层),南北向,2001,天通苑东二区,天通苑,天通苑社区东南角部,无,127,450,35327
天通苑西一区 眼睛房 四居室 三房朝南 中间层 采光好,4室1厅,中层(共13层),南北向,2001,天通苑西一区,天通苑,北京市昌平区立水桥西路,距5号线天通苑南站约196米,187,620,33169
临5天通苑站 全朝南向阳4居室 一层楼双层复式结构 省房,4室2厅,低层(共12层),南向,2005,天通苑北一区,天通苑,太平庄中二街与立水桥东一路交汇处西北角,距5号线天通苑站约476米,203,470,23153
临5天通苑站 全朝南向阳4居室 一层楼双层复式结构 省房,4室2厅,低层(共12层),南向,2005,天通苑北一区,天通苑,太平庄中二街与立水桥东一路交汇处西北角,距5号线天通苑站约476米,203,470,23153
天通苑北三区 大两居落地窗大阳台 小板楼银 层97平377万,2室1厅,中层(共6层),南向,2006,天通苑北三区,天通苑,北京市昌平区太平庄东路与太平庄中二街交汇处,无,97,377,38866
天通苑西二区大三居 全明格局急 售!电梯金层165平499万,3室2厅,中层(共32层),东南向,2006,天通苑西二区,天通苑,地铁5号线天通苑站西侧,距5号线天通苑站约498米,165,498,30182
天通苑西一区 眼睛房 四居室 三房朝南 中间层 采光好,4室1厅,中层(共13层),南北向,2001,天通苑西一区,天通苑,北京市昌平区立水桥西路,距5号线天通苑南站约196米,187,620,33169
燕山羊耳峪老区76.29平米售价135万  急售,2室1厅,高层(共6层),南向,1992,羊耳峪里,燕山,北京市房山区燕山羊耳峪里,无,76,135,17696
天通苑北一区+售价491万 大3居+有车位+落地窗+经典户型,3室2厅,高层(共14层),南北向,2006,天通苑北一区,天通苑,太平庄中二街与立水桥东一路交汇处西北角,距5号线天通苑站约476米,143,491,34364
5天通苑站 带电梯的大板楼3居室 省商品房 南北正向,3室2厅,中层(共12层),南北向,2003,天通苑西三区,天通苑,太平庄中二街与立汤路交汇处西北角,距5号线天通苑站约496米,164,496,30244
西三环湖居大平层 玉渊潭公园 精心装修 南北通透 单价低,3室2厅,低层(共20层),南向,2008,缘溪堂,公主坟,北京市海淀区玉渊潭南路11号院,距1号线公主坟站约513米,348,3299,94848
天通苑北一区 148平三居室 业主售价500万,3室2厅,高层(共13层),南北向,2006,天通苑北一区,天通苑,太平庄中二街与立水桥东一路交汇处西北角,距5号线天通苑站约476米,148,500,33784
燕山迎风六里站59.85平米两居室精致装修158万,3室1厅,低层(共6层),南向,1990,迎风六里,燕山,北京房山区燕山迎风小区(大件路与燕房路交界处,无,60,158,26399
天通苑东二区 板楼三居 临17线 现售450万 !,3室1厅,中层(共7层),南北向,2001,天通苑东二区,天通苑,天通苑社区东南角部,无,127,450,35327
良乡阳光邑上精装跃层3居南北通透满2年大学城西站新装修诚售,3室2厅,低层(共6层),南北向,2011,阳光邑上,良乡,良乡东路56号院(良乡大学城东羊庄西侧 91,距房山线良乡大学城西站约900米,160,480,30000
北三区急 售大复式!152.8平465万 商五一送大露台,4室2厅,低层(共6层),南向,2004,天通苑北三区,天通苑,北京市昌平区太平庄东路与太平庄中二街交汇处,无,153,461,30135
良乡华典家园3居南北向满5年电梯房楼层好位置佳有房本可贷款出售,3室2厅,高层(共9层),南北向,2010,华典家园,良乡,体育场路28号院,无,127,370,29134
天通苑北一区 一层下跃复式 100+90 适合三代人,4室2厅,低层(共6层),南向,2006,天通北苑一区,天通苑,太平庄中二街与立水桥东一路交汇处西北角,距5号线天通苑站约476米,215,486,22605
天通苑北三区1层复式+南北朝向+4居2卫+带有花园+急,4室2厅,低层(共6层),南北向,2006,天通苑北三区,天通苑,北京市昌平区太平庄东路与太平庄中二街交汇处,无,216,508,23519
临17+南北通透户型+138平大三居+单价低+即买即住 !,3室2厅,中层(共6层),南北向,2001,天通苑东一区,天通苑,昌平区太平庄东一路16号(太平庄东路与太平庄,无,139,476,34334
东城聚龙花园南北通透2居室户型方正,2室2厅,中层(共6层),南北向,1995,聚龙花园,工体,新中街68号(近工人体育馆),距2号线朝阳门站约872米,150,1230,82258
朝阳门 吉庆里 板楼 南北四居室 带小区花园 看房约,4室2厅,中层(共9层),南北向,2001,吉庆里,朝阳门,朝阳朝阳门外大街华普超市北侧,距2号线朝阳门站约621米,201,1970,98010
龙腾苑六区 平层四居 全明格局 东向无遮挡 接受6个月换房!,4室2厅,高层(共6层),无,2003,龙腾苑六区,回龙观,北京市昌平区回龙观13号城铁回龙观站西北角5,距13号线回龙观站约478米,162,600,37030
育芳园东里二室一厅一卫,2室1厅,中层(共5层),南北向,1998,育菲园东里,花乡,西南三环夏家胡同车站100米,距10号线首经贸站约544米,83,445,53357
首开常青藤一期 满五蓶一 业主诚心出售 装修保持不错,3室2厅,低层(共9层),南北向,2010,首开常青藤,东坝,东五环七棵树出口向东200米,无,95,635,66506
龙腾苑二区 一层带40平米小院 商品房满五年一套住宅,2室1厅,低层(共6层),南北向,2004,龙腾苑二区,回龙观,龙腾街与文华西路交汇处西北角(八达岭高速回龙,距13号线回龙观站约743米,102,510,50049
定慧福里 精装三居室 户型好 楼龄新 有自建 价位可谈,3室1厅,低层(共18层),南北向,2010,定慧福里,定慧寺,八里庄路62号院定慧福里,距6号线海淀五路居站约323米,102,710,69458
马家堡 角门西 嘉园二里 2室1厅1卫,2室1厅,高层(共6层),东西向,1998,嘉园二里,马家堡,嘉和路与马家堡西路交汇处西行250米路北,距4号线角门西站约425米,58,311,53741
吉庆里朝阳门花园小区 电梯房一梯两户 园中园设计人车分流,2室2厅,高层(共8层),东南向,2001,吉庆里,朝阳门,朝阳朝阳门外大街华普超市北侧,距2号线朝阳门站约621米,108,990,91667
收费1.5北京方向南向正规一居室 户型好 楼层好,1室1厅,中层(共14层),南向,2015,北京方向,科技园区,郭公庄中街20号院,距9号线郭公庄站约283米,61,385,62744
定慧福里 精装三居室 户型好 楼龄新 有自建 价位可谈,3室1厅,低层(共18层),南北向,2010,定慧寺北里,定慧寺,定慧桥东300米,距6号线海淀五路居站约982米,102,710,69458
三环新城7号院 商品房满两年 明厨明卫 精装修低楼层,1室1厅,低层(共29层),东西向,2004,三环新城,玉泉营,丰桥路7号院,距10号线丰台站约161米,63,366,57902
国锐金嵿 1室1厅 300万 只有契税,1室1厅,高层(共27层),北向,2014,国锐金嵿,亦庄,荣华中路与荣京西街交汇处西南角,距亦庄线荣京东街站约569米,73,310,42466
我带客户看过同户型房子 本房带车位+独梯独户+保姆间+不临路,4室2厅,低层(共18层),南向,2009,泛海国际澜海园,朝阳公园,朝阳公园东侧东四环姚家园路,无,310,3399,109645
店长力荐:誉天下二期+385平+ 高调高+全新装修+前后花园,5室3厅,低层(共1层),南向,2010,誉天下,中央别墅区,中央别墅区温榆河畔 机场杨林出口1000米,无,385,1600,41558
五道口清华大学八家嘉苑南北通透两居室,2室1厅,低层(共31层),南向,2013,八家嘉苑,学院路,海淀区双清路与月泉路交叉口西北角(东升八家郊,无,94,540,57447
信和嘉园 两居900 随时看房 可改三房,2室1厅,中层(共13层),南向,2006,信和嘉园,马连道,西城区马连道路15号,距7号线湾子站约1067米,88,900,102273
澳洲康都二室二厅二卫,2室2厅,高层(共24层),东南向,2005,澳洲康都,望京,望京北路39号院,距14号线东湖渠站约799米,110,930,84831
